BR,TC,Case,F_Version
1329430,155,BR about Zoom Indicator | TC about Downloads Dropmaker,51 Branch
1285719,35,BR about Scrolling of PDF file | TC about Bookmarks Toolbar,48 Branch
1320419,174,BR about Indicator for device permissions | TC about FLAC support,51 Branch
1298395,105,BR about WebGL Compatibility | TC about Windows 10 Compatibility,49 Branch
1329421,154,BR about Flash Support | TC about Downloads Dropmaker,51 Branch
1329430,143,BR about Zoom Indicator | TC about Zoom Indicator,51 Branch
1329421,197,BR about Flash Support | TC about Flash Support,51 Branch
1329292,172,BR about WebGL2 | TC about WebGL2,51 Branch
1294970,118,BR about Text to Speech in Reader Mode | TC about Text to Speech in Reader Mode,49 Branch
1298575,121,BR about WebGL Compatibility | TC about WebGL Compatibility,49 Branch