BR,TC,Case,,,F_Version
1329430,155,BR about Zoom Indicator | TC about Downloads Dropmaker,,,51 Branch
1329292,197,BR about WebGL2 | TC about Flash Support,,,51 Branch
1285719,35,BR about Scrolling of PDF file | TC about Bookmarks Toolbar,,,48 Branch
1298575,75,BR about WebGL Compatibility | TC about Context Menu - Full Functional Testing,,,49 Branch
1320419,174,BR about Indicator for device permissions | TC about FLAC support,,,51 Branch
1320345,200,BR about Indicator for device permissions | TC about Zoom Indicator,,,51 Branch
1298395,105,BR about WebGL Compatibility | TC about Windows 10 Compatibility,,,49 Branch
1329249,196,BR about WebGL2 | TC about Flash Support,,,51 Branch
1329421,154,BR about Flash Support | TC about Downloads Dropmaker,,,51 Branch
1320500,207,BR about WebGL2 | TC about Zoom Indicator,,,51 Branch
1292356,14,BR about WebM EME | TC about New Awesome bar,,,50 Branch